"recipient","donor","crs.year","crs.value","publisher","iati.value","iati.year","value","publishing.to.iati","donor.or.publisher"
"Democratic Republic of the Congo","IFRCRCS",,,"icrc",110719595.385236,2018,110719595.385236,1,"IFRCRCS"
"Democratic Republic of the Congo","UNDP",2018,13100226,"undp",103618356,2019,103618356,1,"UNDP"
"Democratic Republic of the Congo","UNHCR",2018,406523,"unhcr",91895126.6,2018,91895126.6,1,"UNHCR"
"Democratic Republic of the Congo","Global Alliance for Vaccines and Immunization [GAVI]",2018,70131220,"gavi",90086506,2017,90086506,1,"Global Alliance for Vaccines and Immunization [GAVI]"
"Dominican Republic","Inter-American Development Bank, Total",2018,3060150,"iadb",464076655,2019,464076655,1,"Inter-American Development Bank, Total"
"Dominican Republic","United States",2018,58982850,"unitedstates",64836016.41,2017,64836016.41,1,"United States"
"Dominican Republic","World Bank Group, Total",,,"worldbank",55227289,2019,55227289,1,"World Bank Group, Total"
"Dominican Republic","UNDP",2018,382660,"undp",42746445,2019,42746445,1,"UNDP"
"Dominican Republic","France",2018,3527776,"afd",41390420.3735,2017,41390420.3735,1,"France"
"Dominican Republic","EU Institutions",2018,29029445,"ec-devco",31979899.18156,2019,31979899.18156,1,"EU Institutions"
"Dominican Republic","OPEC Fund for International Development [OFID]",2018,21786391,"ofid",21786390.79,2018,21786391,1,"OPEC Fund for International Development [OFID]"
"Dominican Republic","Germany",2018,7185822,"bmz",12222736.990354,2019,12222736.990354,1,"Germany"
"Dominican Republic","IFAD",,,"ifad",8398536.384193,2017,8398536.384193,1,"IFAD"
"Dominican Republic","Global Fund",2018,7730713,"theglobalfund",7983415.91,2017,7983415.91,1,"Global Fund"
"Dominican Republic",,,,"wvi",7501862,2018,7501862,1,"wvi"
"Dominican Republic","Spain",2018,5961449,,,,5961449,0,"Spain"
"Dominican Republic","Japan",2018,5272868,,,,5272868,0,"Japan"
"Dominican Republic","Korea",2018,4680732,"odakorea",1942313.184,2019,4680732,1,"Korea"
"Dominican Republic","IFRCRCS",,,"icrc",4284849.941595,2017,4284849.941595,1,"IFRCRCS"
"Ghana",,,,"self-help-africa",1415849965.3056,2019,1415849965.3056,1,"self-help-africa"
"Ghana","World Bank Group, Total",2018,141602286,"worldbank",358280422,2017,358280422,1,"World Bank Group, Total"
"Ghana","United States",2018,218665370,"unitedstates",200547760.08,2017,218665370,1,"United States"
"Ghana","International Monetary Fund, Total",2018,188074872,,,,188074872,0,"International Monetary Fund, Total"
